DateKey;YearMonth;FullDateAlternateKey;EnglishDayNameOfWeek;CalendarYear;ShortMonth;MonthNumberOfYear
20050227;200502;2005-02-27;Sunday;2005;Feb;2
20050228;200502;2005-02-28;Monday;2005;Feb;2
20050301;200503;2005-03-01;Tuesday;2005;Mar;3
20050302;200503;2005-03-02;Wednesday;2005;Mar;3
20050303;200503;2005-03-03;Thursday;2005;Mar;3
20050304;200503;2005-03-04;Friday;2005;Mar;3
20050305;200503;2005-03-05;Saturday;2005;Mar;3
20050306;200503;2005-03-06;Sunday;2005;Mar;3
20050307;200503;2005-03-07;Monday;2005;Mar;3
20050308;200503;2005-03-08;Tuesday;2005;Mar;3
20050309;200503;2005-03-09;Wednesday;2005;Mar;3
20050310;200503;2005-03-10;Thursday;2005;Mar;3
20050311;200503;2005-03-11;Friday;2005;Mar;3
20050312;200503;2005-03-12;Saturday;2005;Mar;3
20050313;200503;2005-03-13;Sunday;2005;Mar;3
20050314;200503;2005-03-14;Monday;2005;Mar;3
20050315;200503;2005-03-15;Tuesday;2005;Mar;3
20050316;200503;2005-03-16;Wednesday;2005;Mar;3
20050317;200503;2005-03-17;Thursday;2005;Mar;3
20050318;200503;2005-03-18;Friday;2005;Mar;3
20050319;200503;2005-03-19;Saturday;2005;Mar;3
20050320;200503;2005-03-20;Sunday;2005;Mar;3
20050321;200503;2005-03-21;Monday;2005;Mar;3
20050322;200503;2005-03-22;Tuesday;2005;Mar;3
20050323;200503;2005-03-23;Wednesday;2005;Mar;3
20050324;200503;2005-03-24;Thursday;2005;Mar;3
20050325;200503;2005-03-25;Friday;2005;Mar;3
20050326;200503;2005-03-26;Saturday;2005;Mar;3
20050327;200503;2005-03-27;Sunday;2005;Mar;3
20050328;200503;2005-03-28;Monday;2005;Mar;3
20050329;200503;2005-03-29;Tuesday;2005;Mar;3
20050330;200503;2005-03-30;Wednesday;2005;Mar;3
20050331;200503;2005-03-31;Thursday;2005;Mar;3
20050401;200504;2005-04-01;Friday;2005;Apr;4
20050402;200504;2005-04-02;Saturday;2005;Apr;4
20050403;200504;2005-04-03;Sunday;2005;Apr;4
20050404;200504;2005-04-04;Monday;2005;Apr;4
20050405;200504;2005-04-05;Tuesday;2005;Apr;4
20050406;200504;2005-04-06;Wednesday;2005;Apr;4
20050407;200504;2005-04-07;Thursday;2005;Apr;4
20050408;200504;2005-04-08;Friday;2005;Apr;4
20050409;200504;2005-04-09;Saturday;2005;Apr;4
20050410;200504;2005-04-10;Sunday;2005;Apr;4
20050411;200504;2005-04-11;Monday;2005;Apr;4
20050412;200504;2005-04-12;Tuesday;2005;Apr;4
20050413;200504;2005-04-13;Wednesday;2005;Apr;4
20050414;200504;2005-04-14;Thursday;2005;Apr;4
20050415;200504;2005-04-15;Friday;2005;Apr;4
20050416;200504;2005-04-16;Saturday;2005;Apr;4
20050417;200504;2005-04-17;Sunday;2005;Apr;4
20050418;200504;2005-04-18;Monday;2005;Apr;4
20050419;200504;2005-04-19;Tuesday;2005;Apr;4
20050420;200504;2005-04-20;Wednesday;2005;Apr;4
20050421;200504;2005-04-21;Thursday;2005;Apr;4
20050422;200504;2005-04-22;Friday;2005;Apr;4
20050423;200504;2005-04-23;Saturday;2005;Apr;4
20050424;200504;2005-04-24;Sunday;2005;Apr;4
20050425;200504;2005-04-25;Monday;2005;Apr;4
20050426;200504;2005-04-26;Tuesday;2005;Apr;4
20050427;200504;2005-04-27;Wednesday;2005;Apr;4
20050428;200504;2005-04-28;Thursday;2005;Apr;4
20050429;200504;2005-04-29;Friday;2005;Apr;4
20050430;200504;2005-04-30;Saturday;2005;Apr;4
20050501;200505;2005-05-01;Sunday;2005;May;5
20050502;200505;2005-05-02;Monday;2005;May;5
20050503;200505;2005-05-03;Tuesday;2005;May;5
20050504;200505;2005-05-04;Wednesday;2005;May;5
20050505;200505;2005-05-05;Thursday;2005;May;5
20050506;200505;2005-05-06;Friday;2005;May;5
20050507;200505;2005-05-07;Saturday;2005;May;5
20050508;200505;2005-05-08;Sunday;2005;May;5
20050509;200505;2005-05-09;Monday;2005;May;5
20050510;200505;2005-05-10;Tuesday;2005;May;5
20050511;200505;2005-05-11;Wednesday;2005;May;5
20050512;200505;2005-05-12;Thursday;2005;May;5
20050513;200505;2005-05-13;Friday;2005;May;5
20050514;200505;2005-05-14;Saturday;2005;May;5
20050515;200505;2005-05-15;Sunday;2005;May;5
20050516;200505;2005-05-16;Monday;2005;May;5
20050517;200505;2005-05-17;Tuesday;2005;May;5
20050518;200505;2005-05-18;Wednesday;2005;May;5
20050519;200505;2005-05-19;Thursday;2005;May;5
20050520;200505;2005-05-20;Friday;2005;May;5
20050521;200505;2005-05-21;Saturday;2005;May;5
20050522;200505;2005-05-22;Sunday;2005;May;5
20050523;200505;2005-05-23;Monday;2005;May;5
20050524;200505;2005-05-24;Tuesday;2005;May;5
20050525;200505;2005-05-25;Wednesday;2005;May;5
20050526;200505;2005-05-26;Thursday;2005;May;5
20050527;200505;2005-05-27;Friday;2005;May;5
20050528;200505;2005-05-28;Saturday;2005;May;5
20050529;200505;2005-05-29;Sunday;2005;May;5
20050530;200505;2005-05-30;Monday;2005;May;5
20050531;200505;2005-05-31;Tuesday;2005;May;5
20050601;200506;2005-06-01;Wednesday;2005;Jun;6
20050602;200506;2005-06-02;Thursday;2005;Jun;6
20050603;200506;2005-06-03;Friday;2005;Jun;6
20050604;200506;2005-06-04;Saturday;2005;Jun;6
20050605;200506;2005-06-05;Sunday;2005;Jun;6
20050606;200506;2005-06-06;Monday;2005;Jun;6
20050607;200506;2005-06-07;Tuesday;2005;Jun;6
20050608;200506;2005-06-08;Wednesday;2005;Jun;6
20050609;200506;2005-06-09;Thursday;2005;Jun;6
20050610;200506;2005-06-10;Friday;2005;Jun;6
20050611;200506;2005-06-11;Saturday;2005;Jun;6
20050612;200506;2005-06-12;Sunday;2005;Jun;6
20050613;200506;2005-06-13;Monday;2005;Jun;6
20050614;200506;2005-06-14;Tuesday;2005;Jun;6
20050615;200506;2005-06-15;Wednesday;2005;Jun;6
20050616;200506;2005-06-16;Thursday;2005;Jun;6
20050617;200506;2005-06-17;Friday;2005;Jun;6
20050618;200506;2005-06-18;Saturday;2005;Jun;6
20050619;200506;2005-06-19;Sunday;2005;Jun;6
20050620;200506;2005-06-20;Monday;2005;Jun;6
20050621;200506;2005-06-21;Tuesday;2005;Jun;6
20050622;200506;2005-06-22;Wednesday;2005;Jun;6
20050623;200506;2005-06-23;Thursday;2005;Jun;6
20050624;200506;2005-06-24;Friday;2005;Jun;6
20050625;200506;2005-06-25;Saturday;2005;Jun;6
20050626;200506;2005-06-26;Sunday;2005;Jun;6
20050627;200506;2005-06-27;Monday;2005;Jun;6
20050628;200506;2005-06-28;Tuesday;2005;Jun;6
20050629;200506;2005-06-29;Wednesday;2005;Jun;6
20050630;200506;2005-06-30;Thursday;2005;Jun;6
20050701;200507;2005-07-01;Friday;2005;Jul;7
20050702;200507;2005-07-02;Saturday;2005;Jul;7
20050703;200507;2005-07-03;Sunday;2005;Jul;7
20050704;200507;2005-07-04;Monday;2005;Jul;7
20050705;200507;2005-07-05;Tuesday;2005;Jul;7
20050706;200507;2005-07-06;Wednesday;2005;Jul;7
20050707;200507;2005-07-07;Thursday;2005;Jul;7
20050708;200507;2005-07-08;Friday;2005;Jul;7
20050709;200507;2005-07-09;Saturday;2005;Jul;7
20050710;200507;2005-07-10;Sunday;2005;Jul;7
20050711;200507;2005-07-11;Monday;2005;Jul;7
20050712;200507;2005-07-12;Tuesday;2005;Jul;7
20050713;200507;2005-07-13;Wednesday;2005;Jul;7
20050714;200507;2005-07-14;Thursday;2005;Jul;7
20050715;200507;2005-07-15;Friday;2005;Jul;7
20050716;200507;2005-07-16;Saturday;2005;Jul;7
20050717;200507;2005-07-17;Sunday;2005;Jul;7
20050718;200507;2005-07-18;Monday;2005;Jul;7
20050719;200507;2005-07-19;Tuesday;2005;Jul;7
20050720;200507;2005-07-20;Wednesday;2005;Jul;7
20050721;200507;2005-07-21;Thursday;2005;Jul;7
20050722;200507;2005-07-22;Friday;2005;Jul;7
20050723;200507;2005-07-23;Saturday;2005;Jul;7
20050724;200507;2005-07-24;Sunday;2005;Jul;7
20050725;200507;2005-07-25;Monday;2005;Jul;7
20050726;200507;2005-07-26;Tuesday;2005;Jul;7
20050727;200507;2005-07-27;Wednesday;2005;Jul;7
20050728;200507;2005-07-28;Thursday;2005;Jul;7
20050729;200507;2005-07-29;Friday;2005;Jul;7
20050730;200507;2005-07-30;Saturday;2005;Jul;7
20050731;200507;2005-07-31;Sunday;2005;Jul;7
20050801;200508;2005-08-01;Monday;2005;Aug;8
20050802;200508;2005-08-02;Tuesday;2005;Aug;8
20050803;200508;2005-08-03;Wednesday;2005;Aug;8
20050804;200508;2005-08-04;Thursday;2005;Aug;8
20050805;200508;2005-08-05;Friday;2005;Aug;8
20050806;200508;2005-08-06;Saturday;2005;Aug;8
20050807;200508;2005-08-07;Sunday;2005;Aug;8
20050808;200508;2005-08-08;Monday;2005;Aug;8
20050809;200508;2005-08-09;Tuesday;2005;Aug;8
20050810;200508;2005-08-10;Wednesday;2005;Aug;8
20050811;200508;2005-08-11;Thursday;2005;Aug;8
20050812;200508;2005-08-12;Friday;2005;Aug;8
20050813;200508;2005-08-13;Saturday;2005;Aug;8
20050814;200508;2005-08-14;Sunday;2005;Aug;8
20050815;200508;2005-08-15;Monday;2005;Aug;8
20050816;200508;2005-08-16;Tuesday;2005;Aug;8
20050817;200508;2005-08-17;Wednesday;2005;Aug;8
20050818;200508;2005-08-18;Thursday;2005;Aug;8
20050819;200508;2005-08-19;Friday;2005;Aug;8
20050820;200508;2005-08-20;Saturday;2005;Aug;8
20050821;200508;2005-08-21;Sunday;2005;Aug;8
20050822;200508;2005-08-22;Monday;2005;Aug;8
20050823;200508;2005-08-23;Tuesday;2005;Aug;8
20050824;200508;2005-08-24;Wednesday;2005;Aug;8
20050825;200508;2005-08-25;Thursday;2005;Aug;8
20050826;200508;2005-08-26;Friday;2005;Aug;8
20050827;200508;2005-08-27;Saturday;2005;Aug;8
20050828;200508;2005-08-28;Sunday;2005;Aug;8
20050829;200508;2005-08-29;Monday;2005;Aug;8
20050830;200508;2005-08-30;Tuesday;2005;Aug;8
20050831;200508;2005-08-31;Wednesday;2005;Aug;8
20050901;200509;2005-09-01;Thursday;2005;Sep;9
20050902;200509;2005-09-02;Friday;2005;Sep;9
20050903;200509;2005-09-03;Saturday;2005;Sep;9
20050904;200509;2005-09-04;Sunday;2005;Sep;9
20050905;200509;2005-09-05;Monday;2005;Sep;9
20050906;200509;2005-09-06;Tuesday;2005;Sep;9
20050907;200509;2005-09-07;Wednesday;2005;Sep;9
20050908;200509;2005-09-08;Thursday;2005;Sep;9
20050909;200509;2005-09-09;Friday;2005;Sep;9
20050910;200509;2005-09-10;Saturday;2005;Sep;9
20050911;200509;2005-09-11;Sunday;2005;Sep;9
20050912;200509;2005-09-12;Monday;2005;Sep;9
20050913;200509;2005-09-13;Tuesday;2005;Sep;9
20050914;200509;2005-09-14;Wednesday;2005;Sep;9
20050915;200509;2005-09-15;Thursday;2005;Sep;9
20050916;200509;2005-09-16;Friday;2005;Sep;9
20050917;200509;2005-09-17;Saturday;2005;Sep;9
20050918;200509;2005-09-18;Sunday;2005;Sep;9
20050919;200509;2005-09-19;Monday;2005;Sep;9
20050920;200509;2005-09-20;Tuesday;2005;Sep;9
20050921;200509;2005-09-21;Wednesday;2005;Sep;9
20050922;200509;2005-09-22;Thursday;2005;Sep;9
20050923;200509;2005-09-23;Friday;2005;Sep;9
20050924;200509;2005-09-24;Saturday;2005;Sep;9
20050925;200509;2005-09-25;Sunday;2005;Sep;9
20050926;200509;2005-09-26;Monday;2005;Sep;9
20050927;200509;2005-09-27;Tuesday;2005;Sep;9
20050928;200509;2005-09-28;Wednesday;2005;Sep;9
20050929;200509;2005-09-29;Thursday;2005;Sep;9
20050930;200509;2005-09-30;Friday;2005;Sep;9
20051001;200510;2005-10-01;Saturday;2005;Oct;10
20051002;200510;2005-10-02;Sunday;2005;Oct;10
20051003;200510;2005-10-03;Monday;2005;Oct;10
20051004;200510;2005-10-04;Tuesday;2005;Oct;10
20051005;200510;2005-10-05;Wednesday;2005;Oct;10
20051006;200510;2005-10-06;Thursday;2005;Oct;10
20051007;200510;2005-10-07;Friday;2005;Oct;10
20051008;200510;2005-10-08;Saturday;2005;Oct;10
20051009;200510;2005-10-09;Sunday;2005;Oct;10
20051010;200510;2005-10-10;Monday;2005;Oct;10
20051011;200510;2005-10-11;Tuesday;2005;Oct;10
20051012;200510;2005-10-12;Wednesday;2005;Oct;10
20051013;200510;2005-10-13;Thursday;2005;Oct;10
20051014;200510;2005-10-14;Friday;2005;Oct;10
20051015;200510;2005-10-15;Saturday;2005;Oct;10
20051016;200510;2005-10-16;Sunday;2005;Oct;10
20051017;200510;2005-10-17;Monday;2005;Oct;10
20051018;200510;2005-10-18;Tuesday;2005;Oct;10
20051019;200510;2005-10-19;Wednesday;2005;Oct;10
20051020;200510;2005-10-20;Thursday;2005;Oct;10
20051021;200510;2005-10-21;Friday;2005;Oct;10
20051022;200510;2005-10-22;Saturday;2005;Oct;10
20051023;200510;2005-10-23;Sunday;2005;Oct;10
20051024;200510;2005-10-24;Monday;2005;Oct;10
20051025;200510;2005-10-25;Tuesday;2005;Oct;10
20051026;200510;2005-10-26;Wednesday;2005;Oct;10
20051027;200510;2005-10-27;Thursday;2005;Oct;10
20051028;200510;2005-10-28;Friday;2005;Oct;10
20051029;200510;2005-10-29;Saturday;2005;Oct;10
20051030;200510;2005-10-30;Sunday;2005;Oct;10
20051031;200510;2005-10-31;Monday;2005;Oct;10
20051101;200511;2005-11-01;Tuesday;2005;Nov;11
20051102;200511;2005-11-02;Wednesday;2005;Nov;11
20051103;200511;2005-11-03;Thursday;2005;Nov;11
20051104;200511;2005-11-04;Friday;2005;Nov;11
20051105;200511;2005-11-05;Saturday;2005;Nov;11
20051106;200511;2005-11-06;Sunday;2005;Nov;11
20051107;200511;2005-11-07;Monday;2005;Nov;11
20051108;200511;2005-11-08;Tuesday;2005;Nov;11
20051109;200511;2005-11-09;Wednesday;2005;Nov;11
20051110;200511;2005-11-10;Thursday;2005;Nov;11
20051111;200511;2005-11-11;Friday;2005;Nov;11
20051112;200511;2005-11-12;Saturday;2005;Nov;11
20051113;200511;2005-11-13;Sunday;2005;Nov;11
20051114;200511;2005-11-14;Monday;2005;Nov;11
20051115;200511;2005-11-15;Tuesday;2005;Nov;11
20051116;200511;2005-11-16;Wednesday;2005;Nov;11
20051117;200511;2005-11-17;Thursday;2005;Nov;11
20051118;200511;2005-11-18;Friday;2005;Nov;11
20051119;200511;2005-11-19;Saturday;2005;Nov;11
20051120;200511;2005-11-20;Sunday;2005;Nov;11
20051121;200511;2005-11-21;Monday;2005;Nov;11
20051122;200511;2005-11-22;Tuesday;2005;Nov;11
20051123;200511;2005-11-23;Wednesday;2005;Nov;11
20051124;200511;2005-11-24;Thursday;2005;Nov;11
20051125;200511;2005-11-25;Friday;2005;Nov;11
20051126;200511;2005-11-26;Saturday;2005;Nov;11
20051127;200511;2005-11-27;Sunday;2005;Nov;11
20051128;200511;2005-11-28;Monday;2005;Nov;11
20051129;200511;2005-11-29;Tuesday;2005;Nov;11
20051130;200511;2005-11-30;Wednesday;2005;Nov;11
20051201;200512;2005-12-01;Thursday;2005;Dec;12
20051202;200512;2005-12-02;Friday;2005;Dec;12
20051203;200512;2005-12-03;Saturday;2005;Dec;12
20051204;200512;2005-12-04;Sunday;2005;Dec;12
20051205;200512;2005-12-05;Monday;2005;Dec;12
20051206;200512;2005-12-06;Tuesday;2005;Dec;12
20051207;200512;2005-12-07;Wednesday;2005;Dec;12
20051208;200512;2005-12-08;Thursday;2005;Dec;12
20051209;200512;2005-12-09;Friday;2005;Dec;12
20051210;200512;2005-12-10;Saturday;2005;Dec;12
20051211;200512;2005-12-11;Sunday;2005;Dec;12
20051212;200512;2005-12-12;Monday;2005;Dec;12
20051213;200512;2005-12-13;Tuesday;2005;Dec;12
20051214;200512;2005-12-14;Wednesday;2005;Dec;12
20051215;200512;2005-12-15;Thursday;2005;Dec;12
20051216;200512;2005-12-16;Friday;2005;Dec;12
20051217;200512;2005-12-17;Saturday;2005;Dec;12
20051218;200512;2005-12-18;Sunday;2005;Dec;12
20051219;200512;2005-12-19;Monday;2005;Dec;12
20051220;200512;2005-12-20;Tuesday;2005;Dec;12
20051221;200512;2005-12-21;Wednesday;2005;Dec;12
20051222;200512;2005-12-22;Thursday;2005;Dec;12
20051223;200512;2005-12-23;Friday;2005;Dec;12
20051224;200512;2005-12-24;Saturday;2005;Dec;12
20051225;200512;2005-12-25;Sunday;2005;Dec;12
20051226;200512;2005-12-26;Monday;2005;Dec;12
20051227;200512;2005-12-27;Tuesday;2005;Dec;12
20051228;200512;2005-12-28;Wednesday;2005;Dec;12
20051229;200512;2005-12-29;Thursday;2005;Dec;12
20051230;200512;2005-12-30;Friday;2005;Dec;12
20051231;200512;2005-12-31;Saturday;2005;Dec;12
20060101;200601;2006-01-01;Sunday;2006;Jan;1
20060102;200601;2006-01-02;Monday;2006;Jan;1
20060103;200601;2006-01-03;Tuesday;2006;Jan;1
20060104;200601;2006-01-04;Wednesday;2006;Jan;1
20060105;200601;2006-01-05;Thursday;2006;Jan;1
20060106;200601;2006-01-06;Friday;2006;Jan;1
20060107;200601;2006-01-07;Saturday;2006;Jan;1
20060108;200601;2006-01-08;Sunday;2006;Jan;1
20060109;200601;2006-01-09;Monday;2006;Jan;1
20060110;200601;2006-01-10;Tuesday;2006;Jan;1
20060111;200601;2006-01-11;Wednesday;2006;Jan;1
20060112;200601;2006-01-12;Thursday;2006;Jan;1
20060113;200601;2006-01-13;Friday;2006;Jan;1
20060114;200601;2006-01-14;Saturday;2006;Jan;1
20060115;200601;2006-01-15;Sunday;2006;Jan;1
20060116;200601;2006-01-16;Monday;2006;Jan;1
20060117;200601;2006-01-17;Tuesday;2006;Jan;1
20060118;200601;2006-01-18;Wednesday;2006;Jan;1
20060119;200601;2006-01-19;Thursday;2006;Jan;1
20060120;200601;2006-01-20;Friday;2006;Jan;1
20060121;200601;2006-01-21;Saturday;2006;Jan;1
20060122;200601;2006-01-22;Sunday;2006;Jan;1
20060123;200601;2006-01-23;Monday;2006;Jan;1
20060124;200601;2006-01-24;Tuesday;2006;Jan;1
20060125;200601;2006-01-25;Wednesday;2006;Jan;1
20060126;200601;2006-01-26;Thursday;2006;Jan;1
20060127;200601;2006-01-27;Friday;2006;Jan;1
20060128;200601;2006-01-28;Saturday;2006;Jan;1
20060129;200601;2006-01-29;Sunday;2006;Jan;1
20060130;200601;2006-01-30;Monday;2006;Jan;1
20060131;200601;2006-01-31;Tuesday;2006;Jan;1
20060201;200602;2006-02-01;Wednesday;2006;Feb;2
20060202;200602;2006-02-02;Thursday;2006;Feb;2
20060203;200602;2006-02-03;Friday;2006;Feb;2
20060204;200602;2006-02-04;Saturday;2006;Feb;2
20060205;200602;2006-02-05;Sunday;2006;Feb;2
20060206;200602;2006-02-06;Monday;2006;Feb;2
20060207;200602;2006-02-07;Tuesday;2006;Feb;2
20060208;200602;2006-02-08;Wednesday;2006;Feb;2
20060209;200602;2006-02-09;Thursday;2006;Feb;2
20060210;200602;2006-02-10;Friday;2006;Feb;2
20060211;200602;2006-02-11;Saturday;2006;Feb;2
20060212;200602;2006-02-12;Sunday;2006;Feb;2
20060213;200602;2006-02-13;Monday;2006;Feb;2
20060214;200602;2006-02-14;Tuesday;2006;Feb;2
20060215;200602;2006-02-15;Wednesday;2006;Feb;2
20060216;200602;2006-02-16;Thursday;2006;Feb;2
20060217;200602;2006-02-17;Friday;2006;Feb;2
20060218;200602;2006-02-18;Saturday;2006;Feb;2
20060219;200602;2006-02-19;Sunday;2006;Feb;2
20060220;200602;2006-02-20;Monday;2006;Feb;2
20060221;200602;2006-02-21;Tuesday;2006;Feb;2
20060222;200602;2006-02-22;Wednesday;2006;Feb;2
20060223;200602;2006-02-23;Thursday;2006;Feb;2
20060224;200602;2006-02-24;Friday;2006;Feb;2
20060225;200602;2006-02-25;Saturday;2006;Feb;2
20060226;200602;2006-02-26;Sunday;2006;Feb;2
20060227;200602;2006-02-27;Monday;2006;Feb;2
20060228;200602;2006-02-28;Tuesday;2006;Feb;2
20060301;200603;2006-03-01;Wednesday;2006;Mar;3
20060302;200603;2006-03-02;Thursday;2006;Mar;3
20060303;200603;2006-03-03;Friday;2006;Mar;3
20060304;200603;2006-03-04;Saturday;2006;Mar;3
20060305;200603;2006-03-05;Sunday;2006;Mar;3
20060306;200603;2006-03-06;Monday;2006;Mar;3
20060307;200603;2006-03-07;Tuesday;2006;Mar;3
20060308;200603;2006-03-08;Wednesday;2006;Mar;3
20060309;200603;2006-03-09;Thursday;2006;Mar;3
20060310;200603;2006-03-10;Friday;2006;Mar;3
20060311;200603;2006-03-11;Saturday;2006;Mar;3
20060312;200603;2006-03-12;Sunday;2006;Mar;3
20060313;200603;2006-03-13;Monday;2006;Mar;3
20060314;200603;2006-03-14;Tuesday;2006;Mar;3
20060315;200603;2006-03-15;Wednesday;2006;Mar;3
20060316;200603;2006-03-16;Thursday;2006;Mar;3
20060317;200603;2006-03-17;Friday;2006;Mar;3
20060318;200603;2006-03-18;Saturday;2006;Mar;3
20060319;200603;2006-03-19;Sunday;2006;Mar;3
20060320;200603;2006-03-20;Monday;2006;Mar;3
20060321;200603;2006-03-21;Tuesday;2006;Mar;3
20060322;200603;2006-03-22;Wednesday;2006;Mar;3
20060323;200603;2006-03-23;Thursday;2006;Mar;3
20060324;200603;2006-03-24;Friday;2006;Mar;3
20060325;200603;2006-03-25;Saturday;2006;Mar;3
20060326;200603;2006-03-26;Sunday;2006;Mar;3
20060327;200603;2006-03-27;Monday;2006;Mar;3
20060328;200603;2006-03-28;Tuesday;2006;Mar;3
20060329;200603;2006-03-29;Wednesday;2006;Mar;3
20060330;200603;2006-03-30;Thursday;2006;Mar;3
20060331;200603;2006-03-31;Friday;2006;Mar;3
20060401;200604;2006-04-01;Saturday;2006;Apr;4
20060402;200604;2006-04-02;Sunday;2006;Apr;4
20060403;200604;2006-04-03;Monday;2006;Apr;4
20060404;200604;2006-04-04;Tuesday;2006;Apr;4
20060405;200604;2006-04-05;Wednesday;2006;Apr;4
20060406;200604;2006-04-06;Thursday;2006;Apr;4
20060407;200604;2006-04-07;Friday;2006;Apr;4
20060408;200604;2006-04-08;Saturday;2006;Apr;4
20060409;200604;2006-04-09;Sunday;2006;Apr;4
20060410;200604;2006-04-10;Monday;2006;Apr;4
20060411;200604;2006-04-11;Tuesday;2006;Apr;4
20060412;200604;2006-04-12;Wednesday;2006;Apr;4
20060413;200604;2006-04-13;Thursday;2006;Apr;4
20060414;200604;2006-04-14;Friday;2006;Apr;4
20060415;200604;2006-04-15;Saturday;2006;Apr;4
20060416;200604;2006-04-16;Sunday;2006;Apr;4
20060417;200604;2006-04-17;Monday;2006;Apr;4
20060418;200604;2006-04-18;Tuesday;2006;Apr;4
20060419;200604;2006-04-19;Wednesday;2006;Apr;4
20060420;200604;2006-04-20;Thursday;2006;Apr;4
20060421;200604;2006-04-21;Friday;2006;Apr;4
20060422;200604;2006-04-22;Saturday;2006;Apr;4
20060423;200604;2006-04-23;Sunday;2006;Apr;4
20060424;200604;2006-04-24;Monday;2006;Apr;4
20060425;200604;2006-04-25;Tuesday;2006;Apr;4
20060426;200604;2006-04-26;Wednesday;2006;Apr;4
20060427;200604;2006-04-27;Thursday;2006;Apr;4
20060428;200604;2006-04-28;Friday;2006;Apr;4
20060429;200604;2006-04-29;Saturday;2006;Apr;4
20060430;200604;2006-04-30;Sunday;2006;Apr;4
20060501;200605;2006-05-01;Monday;2006;May;5
20060502;200605;2006-05-02;Tuesday;2006;May;5
20060503;200605;2006-05-03;Wednesday;2006;May;5
20060504;200605;2006-05-04;Thursday;2006;May;5
20060505;200605;2006-05-05;Friday;2006;May;5
20060506;200605;2006-05-06;Saturday;2006;May;5
20060507;200605;2006-05-07;Sunday;2006;May;5
20060508;200605;2006-05-08;Monday;2006;May;5
20060509;200605;2006-05-09;Tuesday;2006;May;5
20060510;200605;2006-05-10;Wednesday;2006;May;5
20060511;200605;2006-05-11;Thursday;2006;May;5
20060512;200605;2006-05-12;Friday;2006;May;5
20060513;200605;2006-05-13;Saturday;2006;May;5
